@relation synapse.1.2
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max.cc. numeric
@attribute avg.cc. numeric
@attribute bugs numeric
@data
4,1,0,13,21,4,4,9,3,0.6666667,132,1,0,0,0.4,0,0,31.75,6,2.75,0
4,3,0,12,24,4,4,8,4,2,188,0,0,0.7,0.5,0,0,46,10,4.25,0
4,1,0,12,25,2,2,10,2,0.5,145,1,0,0,0.33333334,0,0,34.75,12,3.5,0
4,1,0,9,4,6,6,3,4,2,4,0,0,0,0.6875,0,0,0,1,1,0
6,1,0,14,22,15,5,9,5,2,146,0,0,0,0.5,0,0,23.333334,4,2.3333333,0
2,1,0,1,13,0,1,0,2,0,57,0,0,0,0.625,0,0,26,1,0.5,0
22,2,0,4,44,135,1,4,20,0.8787879,388,1,1,0.13043478,0.2010582,0,0,16.136364,16,2,1
3,2,0,10,16,3,0,10,3,2,56,0,0,0.75,0.5555556,0,0,17.666666,4,1.6666666,0
4,2,0,7,19,4,1,7,1,0.6666667,78,1,1,0.8181818,0.44444445,1,1,18.25,5,1.5,4
23,2,0,22,74,175,4,18,19,0.8818182,461,1,3,0.1923077,0.25974026,1,1,18.608696,23,2.5217392,0
3,2,0,12,16,3,1,12,1,2,101,0,0,0.75,0.5,1,2,32.666668,7,2.6666667,0
2,1,0,4,5,1,4,0,1,1.6896552,88,0,0,0,1,0,0,28.5,0,0,2
10,1,0,33,10,45,30,5,10,2,10,0,0,0,0.28333333,0,0,0,1,1,0
2,1,0,11,2,1,10,1,2,2,2,0,0,0,0.75,0,0,0,1,1,0
4,1,0,78,4,6,78,1,4,2,4,0,0,0,0.5,0,0,0,1,1,0
3,1,0,11,26,1,2,9,2,0.5,158,1,0,0,0.5,0,0,51.333332,11,3.6666667,0
3,1,0,5,7,1,1,4,3,0.5,40,1,2,0,0.5,0,0,11.666667,3,1,1
9,1,0,14,39,0,4,10,5,0.5,406,1,1,0,0.3125,0,0,43.666668,7,1.7777778,2
